"gutenberg_author_id","author","gender","nationality","birthdate","deathdate","link","generation"
2874,"Myers, F. W. H. (Frederic William Henry)","M","British",1843,1901,"http://en.wikipedia.org/wiki/Frederic_William_Henry_Myers",NA
920,"Mérimée, Prosper","M","French",1803,1870,"http://en.wikipedia.org/wiki/Prosper_Mérimée",NA
43510,"Mücke, Hellmuth von","M","German",1881,1957,"https://en.wikipedia.org/wiki/Hellmuth_von_M%C3%BCcke",NA
787,"Müller, F. Max (Friedrich Max)","M","German",1823,1900,"http://en.wikipedia.org/wiki/Max_M%C3%BCller",NA
2059,"Müller, Fritz","M","German",1821,1897,"http://en.wikipedia.org/wiki/Fritz_Müller",NA
9183,"Müller, George","M","British",1805,1898,"http://en.wikipedia.org/wiki/George_M%C3%BCller",NA
5888,"Münsterberg, Hugo","M","American",1863,1916,"http://en.wikipedia.org/wiki/Hugo_M%C3%BCnsterberg","Missionary "
346,"Naidu, Sarojini","F","Indian",1879,1949,"http://en.wikipedia.org/wiki/Sarojini_Naidu",NA
34437,"Nansen, Fridtjof","M","Norwegian",1861,1930,"http://en.wikipedia.org/wiki/Fridtjof_Nansen",NA
4267,"Napoleon I, Emperor of the French","M","French",1769,1821,"http://en.wikipedia.org/wiki/Napoleon_Bonaparte",NA
255,"Nasmyth, James","M","Scottish",1808,1890,"http://en.wikipedia.org/wiki/James_Nasmyth",NA
39215,"Nassau, Robert Hamill","M","American",1835,1921,"http://en.wikipedia.org/wiki/Robert_Hamill_Nassau","Gilded "
